ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,101.429266,109.99553403626625,110.00621650064224,101.429266,101.429266,8.571425315790098,8.571425315790098,8.571425315790098,8.571425315790098,8.571425315790098,8.571425315790098,0.0,0.0,0.0,110.00069131579009
2023-01-02,101.92914001384617,100.4950525069686,100.50571750233209,101.92914001384617,101.92914001384617,-1.428577009445335,-1.428577009445335,-1.428577009445335,-1.428577009445335,-1.428577009445335,-1.428577009445335,0.0,0.0,0.0,100.50056300440083
2023-01-03,102.42901402769232,100.99529857961123,101.00579004435491,102.42901402769232,102.42901402769232,-1.4285783695930803,-1.4285783695930803,-1.4285783695930803,-1.4285783695930803,-1.4285783695930803,-1.4285783695930803,0.0,0.0,0.0,101.00043565809924
2023-01-04,102.92888804153847,101.49465639055298,101.50530267703782,102.92888804153847,102.92888804153847,-1.4285735564161357,-1.4285735564161357,-1.4285735564161357,-1.4285735564161357,-1.4285735564161357,-1.4285735564161357,0.0,0.0,0.0,101.50031448512233
2023-01-05,103.42876205538462,101.99502488753267,102.0055736842429,103.42876205538462,103.42876205538462,-1.4285687987839328,-1.4285687987839328,-1.4285687987839328,-1.4285687987839328,-1.4285687987839328,-1.4285687987839328,0.0,0.0,0.0,102.0001932566007
2023-01-06,103.92863606923078,102.494348814199,102.50544844724999,103.92863606923078,103.92863606923078,-1.4285641840439478,-1.4285641840439478,-1.4285641840439478,-1.4285641840439478,-1.4285641840439478,-1.4285641840439478,0.0,0.0,0.0,102.50007188518683
2023-01-07,104.42851008307693,102.99425919023862,103.0050750298053,104.42851008307693,104.42851008307693,-1.4285633974920493,-1.4285633974920493,-1.4285633974920493,-1.4285633974920493,-1.4285633974920493,-1.4285633974920493,0.0,0.0,0.0,102.99994668558487
2023-01-08,104.92838409692308,113.49461893922593,113.50417140725901,104.92838409692308,104.92838409692308,8.5714253157901,8.5714253157901,8.5714253157901,8.5714253157901,8.5714253157901,8.5714253157901,0.0,0.0,0.0,113.49980941271318
2023-01-09,105.42825811076924,103.99436514445058,104.0046448438785,105.42825811076924,105.42825811076924,-1.428577009448437,-1.428577009448437,-1.428577009448437,-1.428577009448437,-1.428577009448437,-1.428577009448437,0.0,0.0,0.0,103.9996811013208
2023-01-10,105.92813212461539,104.494054739012,104.50508604128913,105.92813212461539,105.92813212461539,-1.428578369613235,-1.428578369613235,-1.428578369613235,-1.428578369613235,-1.428578369613235,-1.428578369613235,0.0,0.0,0.0,104.49955375500215
2023-01-11,106.42800613846154,104.99390551962462,105.00483652949114,106.42800613846154,106.42800613846154,-1.4285735564008653,-1.4285735564008653,-1.4285735564008653,-1.4285735564008653,-1.4285735564008653,-1.4285735564008653,0.0,0.0,0.0,104.99943258206068
2023-01-12,106.9278801523077,105.4939938706934,105.50420186007311,106.9278801523077,106.9278801523077,-1.4285687988109461,-1.4285687988109461,-1.4285687988109461,-1.4285687988109461,-1.4285687988109461,-1.4285687988109461,0.0,0.0,0.0,105.49931135349675
2023-01-13,107.42775416615385,105.99376793878491,106.00461622119967,107.42775416615385,107.42775416615385,-1.4285641840562986,-1.4285641840562986,-1.4285641840562986,-1.4285641840562986,-1.4285641840562986,-1.4285641840562986,0.0,0.0,0.0,105.99918998209755
2023-01-14,107.92789965301769,106.49457245849545,106.50528991655005,107.92789965301769,107.92789965301769,-1.4285633974799272,-1.4285633974799272,-1.4285633974799272,-1.4285633974799272,-1.4285633974799272,-1.4285633974799272,0.0,0.0,0.0,106.49933625553776
2023-01-15,108.42804513988155,116.99434813418335,117.00458990515622,108.42804513988155,108.42804513988155,8.571425315790098,8.571425315790098,8.571425315790098,8.571425315790098,8.571425315790098,8.571425315790098,0.0,0.0,0.0,116.99947045567164
2023-01-16,108.92819062674539,107.49435264833158,107.5045717512991,108.92819062674539,108.92819062674539,-1.4285770094321655,-1.4285770094321655,-1.4285770094321655,-1.4285770094321655,-1.4285770094321655,-1.4285770094321655,0.0,0.0,0.0,107.49961361731323
2023-01-17,109.42833611360923,107.994822817094,108.0054160039657,109.42833611360923,109.42833611360923,-1.4285783696008842,-1.4285783696008842,-1.4285783696008842,-1.4285783696008842,-1.4285783696008842,-1.4285783696008842,0.0,0.0,0.0,107.99975774400835
2023-01-18,109.92848160047308,108.49449206256357,108.50525476626244,109.92848160047308,109.92848160047308,-1.4285735563941195,-1.4285735563941195,-1.4285735563941195,-1.4285735563941195,-1.4285735563941195,-1.4285735563941195,0.0,0.0,0.0,108.49990804407896
